30n20b8.mp,132,132,132,132,132,132
academictimetablesmall.mp,11745,18484,1,16659,5910,9545
atlanta-ip.mp,15271,14497,14926,17885,17117,14617
bab2.mp,81825,71416,56831,62139,124913,86383
bab6.mp,8631,14198,3263,3002,5697,11906
bnatt400.mp,37938,35876,33088,-1,-1,54159
bnatt500.mp,86516,109051,109534,-1,-1,110676
brazil3.mp,8147,3565,3778,1775,3275,7168
co-100.mp,942705,244939,2761,-1,-1,1691
cryptanalysiskb128n5obj14.mp,529,299,401,299,371,489
cryptanalysiskb128n5obj16.mp,881,263,653,384,361,500
csched007.mp,86314,86314,86314,-1,-1,86314
csched008.mp,870289,870289,870289,-1,-1,870289
decomp2.mp,1,1,1,-1,-1,1
drayage-100-23.mp,1,1,1,-1,-1,-1
drayage-25-23.mp,1,1,1,-1,-1,-1
dws008-01.mp,466009,456291,404332,-1,-1,480774
enlight_hard.mp,0,0,0,-1,-1,0
fastxgemm-n2r6s0t2.mp,42203,42203,-1,42203,-1,-1
fhnw-binpack4-4.mp,353318,7752474,98394,-1,-1,-1
fhnw-binpack4-48.mp,12723,21779,12010,-1,-1,-1
germanrr.mp,57463,53013,55541,53013,55541,43665
gfd-schedulen180f7d50m30k18.mp,1855,3317,3149,5573,3414,219
gmu-35-40.mp,1530252,82826,82826,-1,-1,82826
gmu-35-50.mp,30486,1405009,932768,-1,-1,2397
highschool1-aigio.mp,381,1688,1688,127,127,127
hypothyroid-k1.mp,1,1,1,-1,-1,1
irish-electricity.mp,15675,17177,20353,-1,-1,20910
istanbul-no-cutoff.mp,126,123,104,-1,-1,195
k1mushroom.mp,1,1,1,-1,-1,1
lectsched-5-obj.mp,11701,13384,5559,-1,-1,-1
mcsched.mp,11751,11802,-1,11802,-1,-1
mzzv11.mp,1,1,1,-1,-1,1
mzzv42z.mp,1,1,1,-1,-1,1
n2seq36q.mp,1,1,1,-1,-1,1
neos-2657525-crna.mp,43382723,7458421,47922379,7458421,24278070,-1
neos-2746589-doon.mp,1290,507,-1,1107,-1,-1
neos-3216931-puriri.mp,3531,4169,4277,4243,3989,4087
neos-3656078-kumeu.mp,160740,217647,59054,-1,-1,76054
neos-3988577-wolgan.mp,3108,3066,4061,-1,-1,3244
neos-4387871-tavua.mp,60327,58159,58449,-1,-1,59439
neos-4413714-turia.mp,1,1,1,-1,-1,1
neos-4532248-waihi.mp,172,1264,638,-1,-1,415
neos-4647030-tutaki.mp,16336,33668,15307,-1,-1,223
neos-4722843-widden.mp,1408,2747,1615,1821,1924,1480
neos-4738912-atrato.mp,5249,4874,5783,-1,-1,5710
neos-5104907-jarama.mp,110,165,-1,90,-1,-1
neos-5195221-niemur.mp,54320,19937,-1,20648,-1,-1
neos-631710.mp,9795,25243,58,-1,-1,1
neos-662469.mp,1032,127,291,-1,-1,371
neos-787933.mp,1,1,1,-1,-1,1
neos-827175.mp,1,1,1,1,1,1
neos-957323.mp,1,1,1,-1,-1,1
neos-960392.mp,1,1,1,1,1,1
neos8.mp,1,1,1,-1,-1,1
net12.mp,2516,3398,1742,3398,2512,5151
netdiversion.mp,60,60,-1,63,-1,-1
ns1116954.mp,1,1,223,-1,-1,1
nu25-pr12.mp,99,99,-1,99,-1,-1
nursesched-medium-hint03.mp,1433,191,-1,191,-1,-1
nursesched-sprint02.mp,1,1,-1,1,-1,-1
peg-solitaire-a3.mp,3833,4699,1527,-1,-1,1018
physiciansched3-3.mp,11191,15614,10135,17131,9269,16729
physiciansched6-2.mp,1,1,1,1,1,1
piperout-08.mp,1,1,1,1,1,1
piperout-27.mp,1,1,1,1,1,1
proteindesign121hz512p9.mp,59764,34615,19175,-1,-1,6155
proteindesign122trx11p8.mp,2195,59600,68125,-1,-1,5602
radiationm18-12-05.mp,52251,137118,43650,137118,43650,-1
rail01.mp,85,1,-1,67,-1,-1
rail02.mp,107,30,-1,61,-1,-1
rd-rplusc-21.mp,16932,26116,34831,-1,-1,24248
rocI-4-11.mp,18935,23128,-1,23128,-1,-1
rocII-5-11.mp,177731,255061,73411,111056,66590,-1
roi2alpha3n4.mp,26602,14535,32594,-1,-1,746
roi5alpha10n8.mp,124361,70168,241710,-1,-1,9965
roll3000.mp,2360,4428,1018,-1,-1,6200
s100.mp,9143,6917,6879,6879,6879,-1
s250r10.mp,179026,365459,373348,158580,434170,417753
satellites2-40.mp,1,192,-1,1,-1,-1
satellites2-60-fs.mp,1500,1,-1,758,-1,-1
sct2.mp,11348,3987,-1,9648,-1,-1
sing326.mp,40140,14369,-1,15620,-1,-1
sing44.mp,13382,17706,-1,17942,-1,-1
splice1k1.mp,10492,3160,3273,-1,-1,1
supportcase18.mp,536012,127,127,-1,-1,127
supportcase22.mp,184,352,202,-1,-1,201
supportcase33.mp,2807,3950,4711,-1,-1,4664
supportcase6.mp,3900,3900,-1,3900,-1,-1
supportcase7.mp,1,1,1,1,1,1
swath1.mp,1246,1246,-1,1246,-1,-1
swath3.mp,10546,10546,-1,10546,-1,-1
tbfp-network.mp,195,195,-1,195,-1,-1
traininstance2.mp,524434,519637,489141,519637,489141,489141
traininstance6.mp,70139,66159,37823,66159,37823,35350
triptim1.mp,1,1,-1,1,-1,-1
uccase9.mp,6437,6437,-1,6437,-1,-1
uct-subprob.mp,393756,284648,-1,207246,-1,-1
wachplan.mp,77415,77415,-1,77415,-1,-1
